timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
13516,-0.398,-0.259,0.849,-1.187,2.197,1.075
13548,-0.398,-0.263,0.851,-1.125,2.258,1.136
13580,-0.402,-0.261,0.851,-1.003,2.380,1.014
13612,-0.403,-0.264,0.849,-0.576,2.441,1.014
13644,-0.400,-0.265,0.849,-0.637,2.197,1.014
13731,-0.403,-0.266,0.848,-0.576,2.075,0.892
13763,-0.404,-0.262,0.848,-1.003,2.136,1.014
13795,-0.405,-0.263,0.846,-0.881,2.014,0.953
13827,-0.409,-0.266,0.849,-0.576,2.136,0.831
13859,-0.406,-0.265,0.847,-0.698,2.075,0.892
13892,-0.406,-0.265,0.845,-0.820,2.197,0.892
13979,-0.411,-0.265,0.845,-0.515,1.953,0.892
14011,-0.404,-0.266,0.845,-0.698,2.075,0.953
14043,-0.405,-0.268,0.843,-0.576,1.953,0.892
14075,-0.406,-0.265,0.845,-0.271,1.769,0.892
14107,-0.410,-0.269,0.847,-0.576,1.891,0.892
14140,-0.407,-0.265,0.845,-0.698,1.891,0.831
14226,-0.411,-0.267,0.843,-0.637,1.830,0.953
14258,-0.408,-0.265,0.845,-0.393,1.769,0.953
14290,-0.414,-0.271,0.842,-0.698,2.075,0.831
14322,-0.411,-0.270,0.841,-0.393,1.647,0.831
14354,-0.411,-0.270,0.845,-0.454,1.891,0.709
14444,-0.411,-0.271,0.843,-0.149,1.647,0.709
14476,-0.413,-0.270,0.847,-0.271,1.830,0.770
14508,-0.413,-0.269,0.843,-0.820,2.075,0.892
14540,-0.414,-0.269,0.843,-0.210,1.769,0.770
14572,-0.414,-0.270,0.841,-0.820,1.647,0.770
14604,-0.414,-0.268,0.842,-0.515,1.708,0.831
14690,-0.412,-0.270,0.844,-0.637,1.769,0.892
14722,-0.415,-0.270,0.842,-0.393,1.891,0.831
14754,-0.416,-0.268,0.841,-0.393,1.647,0.770
14786,-0.411,-0.270,0.840,-0.088,1.586,0.770
14818,-0.413,-0.270,0.841,-0.332,1.708,0.770
14850,-0.417,-0.270,0.844,-0.393,1.953,0.831
14944,-0.415,-0.273,0.843,-0.576,1.769,0.831
14976,-0.415,-0.270,0.838,-0.149,1.647,0.770
15008,-0.417,-0.270,0.840,-0.515,1.769,0.770
15040,-0.419,-0.274,0.839,-0.637,1.586,0.831
15072,-0.418,-0.274,0.838,-0.454,1.647,0.770
15104,-0.416,-0.274,0.841,-0.149,1.586,0.770
15190,-0.416,-0.274,0.838,-0.210,1.647,0.709
15222,-0.417,-0.274,0.840,-0.332,1.098,0.648
15254,-0.420,-0.274,0.840,-0.210,2.136,0.892
15286,-0.415,-0.269,0.839,-0.576,1.891,0.648
15318,-0.419,-0.273,0.836,-0.515,1.891,0.831
15350,-0.416,-0.271,0.843,-0.027,1.098,0.709
15437,-0.420,-0.274,0.839,-0.271,1.464,0.831
15469,-0.419,-0.270,0.841,-0.515,1.647,0.709
15501,-0.418,-0.281,0.839,-0.210,1.403,0.831
15533,-0.421,-0.272,0.837,-0.332,1.708,0.709
15565,-0.419,-0.269,0.837,-0.149,1.464,0.831
15597,-0.417,-0.278,0.841,-0.210,1.525,0.648
15683,-0.416,-0.269,0.840,-0.454,1.464,0.770
